case_id,driver_age,vehicle_price,deductible,driver_rating,past_number_of_claims,age_of_vehicle_rank,age_of_policyholder_rank,days_policy_accident_rank,days_policy_claim_rank,number_of_suppliments_rank,address_change_claim_rank,number_of_cars_rank,Make,Sex,MaritalStatus,Fault,PolicyType,VehicleCategory,AccidentArea,PoliceReportFiled,WitnessPresent,AgentType,BasePolicy,expected_hours,expected_recovery,investigation_cost,narrative_text,FraudFound_P,llm_keywords,llm_explanation,llm_suspicion_adjustment
504,74,24500,400,1,0,7,8,4,3,0,0,0,Pontiac,Male,Married,Policy Holder,Sedan - All Perils,Sedan,Rural,No,No,External,All Perils,4,9800.0,1400,"사고는 지방 소재 한적한 도로에서 발생하였으며, 계약자인 65세 이상 고령 운전자가 운전하던 세단 차량 단독 사고로 확인된다. 사고 경위상 과실은 전적으로 계약자 측에 있는 것으로 판단되나, 사고 발생일로부터 한 달 이상 경과한 시점에 접수가 이루어져 지연 사유에 대한 소명이 필요하다. 사고 당시 경찰 신고가 이루어지지 않았고 목격자도 존재하지 않으며, 차량에 블랙박스가 미장착되어 있어 사고 경위를 객관적으로 뒷받침할 자료가 부재한 상태이다. 계약자는 과거 청구 이력이 없는 것으로 확인되나, 상기 정황을 종합할 때 사고 경위 및 손해 사실에 대한 추가 조사가 요구된다.",1,지연신고|블랙박스 미장착|목격자 부재|경찰 미신고,"사고 발생 한 달 이상 경과 후 접수된 지연신고 정황과 블랙박스 미장착, 목격자·경찰신고 부재로 객관적 사고 입증 자료가 없어 의심도를 상향 조정하였다. 다만 과거 청구 이력이 없다는 점은 참작 요소이나, 나머지 정황이 뚜렷하여 보정치를 0.5로 산정하였다.",0.5
8013,41,24500,400,4,3,5,5,4,3,1,0,0,Toyota,Male,Married,Policy Holder,Sedan - Collision,Sedan,Urban,No,No,External,Collision,5,9800.0,1750,"사고는 도심 도로에서 발생하였으며, 계약자가 운전하던 세단 차량이 진행 중 전방 차량 및 주변 시설물과 충돌하는 사고로 확인된다. 사고 경위 조사 결과 계약자 측 과실로 판단되며, 사고 당시 경찰 신고는 이루어지지 않았고 목격자도 확인되지 않았다. 사고 발생 후 한 달 이상 경과한 시점에 보험금이 청구되어 지연 사유에 대해 계약자 진술을 청취하였다. 차량은 충돌로 인한 손상이 확인되며, 해당 손해는 대물손해(Collision) 담보로 접수되어 손해사정 절차를 진행 중이다.",0,지연신고|목격자 미확인|경찰 미신고,"사고 발생 후 한 달 이상 경과하여 보험금을 청구한 지연신고 정황과, 경찰 신고 및 목격자 확인이 전혀 없었다는 점이 사고 경위 확인을 어렵게 하는 의심 요소로 확인되어 의심도를 상향 조정함.",0.4
9877,45,75000,400,4,3,6,5,4,3,0,0,0,Mazda,Male,Married,Policy Holder,Utility - All Perils,Utility,Urban,No,No,External,All Perils,5,30000.0,1750,"도심 도로에서 계약자가 운전하던 유틸리티 차량이 단독으로 사고를 일으켰다. 사고 당시 목격자는 없었으며, 경찰에는 별도로 신고하지 않은 것으로 확인된다. 사고 발생 이후 30일 이상이 경과한 시점에 청구가 접수되어 지연 사유에 대한 확인이 필요하다. 과실은 계약자 측에 있는 것으로 판단되며, 해당 차량은 전위험담보(All Perils)로 가입되어 있다.",0,지연신고|목격자 없음|경찰 미신고|단독사고,"사고 발생 후 30일 이상 경과한 지연청구가 확인되며, 목격자 부재 및 경찰 미신고 상태에서 계약자 단독 과실 사고로 처리되어 사고 경위 확인이 어려운 정황이 있어 사기 의심도를 상향 조정함.",0.5
13910,53,49500,400,1,0,7,6,4,3,2,0,0,Ford,Male,Married,Policy Holder,Sedan - All Perils,Sedan,Urban,No,No,External,All Perils,5,19800.0,1750,"도심 도로에서 계약자 운전 세단 차량 단독 과실로 발생한 사고로, 경찰 신고 없이 계약자 본인 진술에 의존해 경위가 파악되었다. 사고 발생 후 30일 이상 경과한 시점에 보험사에 접수되어 사고 당시 상황과 손상 부위 대조에 어려움이 있다. 사고 당시 차량에 블랙박스가 장착되어 있지 않았고 목격자도 없어 사고 경위를 객관적으로 확인할 수 있는 자료가 부재한 상태이다. 계약자는 과거 청구 이력이 없는 41~50세 연령대로, 전손 담보 가입 차량이며 차량가액은 4천만원에서 5천9백만원 사이로 확인된다. 접수 지연 및 증빙자료 부재로 사고 경위에 대한 추가 확인이 필요한 사안으로 판단된다.",1,지연신고|블랙박스 미장착|목격자 부재|경찰 신고 없음,"사고 발생 후 30일 이상 지나서 접수된 지연신고와 블랙박스 미장착, 목격자 부재, 경찰 신고 없이 본인 진술에만 의존한 점이 복합적으로 겹쳐 사고 경위 객관적 확인이 어려운 상태이다. 다만 나이롱환자나 한방병원 장기입원 관련 언급은 본문에 없어 해당 키워드는 포함하지 않았다.",0.4
4551,51,75000,400,4,1,4,6,3,3,0,2,0,Accura,Male,Married,Policy Holder,Utility - All Perils,Utility,Urban,No,No,External,All Perils,5,30000.0,1750,"도심 도로에서 계약자가 운전 중이던 유틸리티 차량으로 단독 사고를 발생시킨 것으로 접수되었으며, 사고 당시 경찰에는 신고하지 않은 것으로 확인된다. 계약자는 사고 발생일로부터 30일 이상 경과한 시점에 보험사에 사고 접수를 하여 지연 접수에 대한 사유 확인이 필요한 상황이다. 사고 차량에는 블랙박스가 장착되어 있지 않았고 주변 목격자도 없어 사고 경위를 객관적으로 입증할 자료가 부족한 상태이다. 계약자는 과거 1건의 청구 이력이 있으며, 이번 사고는 차량가액 6만9천 이상의 고가 차량에 대한 전손 담보로 청구된 건으로 정밀한 사실관계 확인이 요구된다.",1,지연신고|블랙박스 미장착|목격자 부재|고가차량 전손 청구,"사고 후 30일 이상 경과한 지연 접수, 블랙박스 미장착, 목격자 부재로 객관적 입증 자료가 부족한 점, 고가 차량의 전손 담보 청구가 결합되어 사기 의심 정황이 뚜렷하다.",0.6
12315,46,24500,400,4,0,7,6,4,3,0,0,0,Pontiac,Male,Married,Policy Holder,Sedan - All Perils,Sedan,Urban,No,No,External,All Perils,4,9800.0,1400,"사고는 도심 도로에서 계약자가 운전하던 세단 차량으로 발생하였으며, 사고 당시 계약자의 과실로 확인되었다. 사고 현장에서는 경찰에 신고하지 않았고, 별도의 목격자도 확인되지 않아 진술은 계약자 본인의 설명에 근거하였다. 사고 발생 이후 30일 이상 경과한 시점에 보험금 청구가 접수되었으며, 지연 사유에 대해서는 계약자가 개인 사정으로 인한 신고 지연이라고 밝혔다. 계약자는 과거 청구 이력이 없는 상태이며, 해당 차량은 전 위험 담보로 가입되어 있다. 사고 경위 전반에 걸쳐 특이한 정황은 발견되지 않았다.",0,지연신고|경찰 미신고|목격자 부재,"사고 발생 후 30일 이상 경과하여 보험금이 청구된 지연신고 정황이 있으며, 경찰 신고 및 목격자 없이 계약자 본인 진술에만 의존하고 있어 사실관계 확인이 어려운 점이 다소 의심되나, 그 외 한방병원 장기입원·나이롱환자·블랙박스 미장착 등 뚜렷한 사기 정황은 본문에서 확인되지 않는다.",0.3
10171,35,24500,400,4,0,6,4,4,3,2,0,0,Toyota,Female,Married,Policy Holder,Sedan - All Perils,Sedan,Urban,No,No,External,All Perils,5,9800.0,1750,"도심 도로에서 세단 차량을 운행하던 계약자의 부주의로 사고가 발생하였다. 사고 당시 목격자는 없었으며 경찰에 신고하지 않고 자체적으로 상황을 정리하였다. 계약자는 사고 발생 후 30일 이상이 지난 시점에 보험사에 청구를 접수하였다. 과거 청구 이력은 없으며, 이번 사고에 대해 전부보장 담보로 처리를 요청하였다.",0,지연신고|목격자 없음|경찰 미신고 후 자체 정리,"사고 발생 후 30일 이상 지나 청구를 접수한 지연신고 정황이 확인되고, 목격자 없이 경찰신고 없이 자체적으로 상황을 정리한 점이 사실관계 확인을 어렵게 하여 사기 의심 정황으로 볼 수 있다. 다만 나이롱환자, 한방병원 장기입원, 블랙박스 미장착 등 다른 전형적 정황은 본문에서 확인되지 않는다.",0.4
12979,26,24500,400,3,3,6,4,4,3,0,4,1,Chevrolet,Male,Married,Third Party,Sedan - Collision,Sedan,Urban,Yes,No,External,Collision,4,9800.0,1400,"사고는 도심 도로에서 발생했으며, 상대 차량의 일방적인 부주의로 계약자 차량인 세단과 충돌이 발생했다. 계약자는 사고 즉시 경찰에 신고했으나 목격자는 확인되지 않았다. 사고 당시 별다른 조치 없이 지내다 개인 사정으로 접수가 지연되어 사고 발생 30일 이상이 지난 뒤 보험사에 청구가 이루어졌다. 차량은 충돌로 인한 파손이 확인되어 충돌 담보를 통한 수리가 필요한 상태이다.",0,지연신고|목격자 미확인,"사고 즉시 경찰신고는 이루어졌으나 보험사 청구가 사고 발생 30일 이상 경과 후 이루어진 지연신고 정황이 확인되며, 목격자가 확인되지 않은 점도 경위 확인을 어렵게 하는 요소로 의심도를 소폭 상향한다. 다만 나이롱환자, 한방병원 장기입원, 블랙박스 미장착 등 다른 전형적 사기 정황은 본문에서 확인되지 않는다.",0.3
1212,34,24500,400,4,3,5,4,4,3,1,0,0,Honda,Male,Married,Policy Holder,Sedan - Liability,Sport,Urban,No,No,External,Liability,5,9800.0,1750,"사고는 도심 도로에서 발생하였으며, 계약자가 운전하던 스포츠 차종 차량이 진행 중 상대 차량과 접촉하여 발생한 것으로 확인된다. 사고 당시 목격자는 없었으며, 경찰 신고는 이루어지지 않았다. 계약자는 사고 후 30일 이상 경과한 시점에 보험사에 청구를 접수하였다. 과실 관계는 계약자 측에 있는 것으로 파악되며, 해당 계약은 대인·대물 배상책임 담보를 기본으로 하는 계약이다. 계약자는 과거 2건에서 4건의 청구 이력이 있는 것으로 확인된다.",0,지연신고|경찰 미신고|목격자 부재|과거 청구 이력 다수,"사고 후 30일 이상 지나서야 청구를 접수한 지연신고 정황이 확인되며, 경찰 신고 미실시와 목격자 부재로 사고 경위 확인이 어려운 점이 의심을 높인다. 또한 계약자가 과거 2~4건의 청구 이력을 보유하고 있어 반복 청구 가능성도 함께 고려할 필요가 있다.",0.4
2586,32,24500,400,1,1,5,4,4,3,3,0,0,Ford,Male,Single,Policy Holder,Sedan - Collision,Sedan,Urban,No,No,External,Collision,6,9800.0,2100,"사고는 도심 도로에서 계약자가 운전하던 세단 차량이 단독으로 충돌하며 발생한 것으로, 계약자 본인 과실로 판단된다. 사고 발생 후 한 달 이상이 지난 시점에 보험사에 접수가 이루어져 사고 경위 파악에 어려움이 있었다. 사고 당시 차량에 블랙박스가 장착되어 있지 않았고 목격자도 확인되지 않아 충돌 경위를 객관적으로 입증할 자료가 부족한 상황이다. 또한 사고 당시 경찰 신고가 이루어지지 않아 공식 기록을 통한 사실관계 확인이 불가능하다. 계약자는 과거 1건의 보험금 청구 이력이 있으며, 이번 청구 경위에 대한 추가 확인이 필요할 것으로 보인다.",1,지연신고|블랙박스 미장착|목격자 없음|경찰 미신고|과거 보험금 청구 이력,"사고 발생 한 달 이상 경과 후 접수된 지연신고, 블랙박스 미장착, 목격자 부재, 경찰 미신고 등 객관적 사실관계 확인이 어려운 정황이 다수 겹쳐 있고 과거 청구 이력도 있어 추가 확인이 필요한 사안으로 판단됨.",0.6
950,27,34500,400,3,3,6,4,4,3,0,0,0,Pontiac,Male,Married,Policy Holder,Sedan - Collision,Sedan,Rural,No,No,External,Collision,5,13800.0,1750,"사고는 지방 소재 국도에서 계약자가 단독으로 운행하던 세단 차량이 전방 부주의로 인해 충돌하며 발생한 것으로, 계약자 본인의 과실로 확인된다. 사고 발생 이후 30일 이상이 지난 시점에서야 보험사에 사고 접수가 이루어져 사고 경위 확인이 지연된 정황이 있다. 사고 당시 차량에는 블랙박스가 장착되어 있지 않았고 목격자도 존재하지 않아 사고 경위를 객관적으로 뒷받침할 자료가 부족한 상태이다. 또한 경찰 신고 없이 개인적으로 사고를 처리한 것으로 확인되어 사고 원인 및 손해 규모에 대한 추가적인 사실 확인이 필요하다. 계약자는 과거에도 2건 이상의 보험금 청구 이력이 있어 종합적인 검토가 요구된다.",1,지연신고|블랙박스 미장착|목격자 부재|경찰 미신고|과거 보험금 청구 이력 다수,"사고 발생 30일 이상 경과 후 지연신고, 블랙박스 미장착 및 목격자 부재로 객관적 사고 경위 확인 자료 부족, 경찰 미신고로 개인 처리, 과거 2건 이상의 보험금 청구 이력 등 다수의 사기 의심 정황이 본문에서 확인되어 의심도를 상향 조정함.",0.6
11167,32,75000,400,3,0,5,4,4,3,3,0,0,Honda,Male,Single,Policy Holder,Sedan - Liability,Sport,Urban,Yes,No,External,Liability,4,30000.0,1400,"사고는 도심 도로에서 발생하였으며, 계약자가 운전하던 스포츠 차종 차량의 진행 중 부주의로 인해 발생한 것으로 확인된다. 사고 직후 경찰에 신고가 이루어졌으나 별도의 목격자는 확인되지 않았다. 계약자는 사고 발생일로부터 30일 이상이 지난 후 보험사에 청구를 접수하였다. 과실 관계는 계약자 측에 있는 것으로 판단되며, 해당 계약자는 과거 청구 이력이 없는 것으로 조회되었다. 차량은 차량가액이 6만9천 달러를 초과하는 고가 차량으로, 기본 담보는 대인·대물 책임보험으로 확인된다.",0,지연신고(사고 후 30일 이상 경과 청구)|목격자 부재,"사고 발생일로부터 30일 이상 지난 뒤 청구가 접수된 지연신고 정황이 확인되며, 목격자가 없어 사고 경위 확인이 어려운 점도 경미한 의심 요소이다. 다만 계약자의 과거 청구 이력이 없고 나이롱환자·한방병원 장기입원·블랙박스 미장착 등 다른 전형적 사기 정황은 본문에서 확인되지 않아 전체적인 의심도는 크게 높이지 않는다.",0.3
7847,39,24500,400,3,1,6,5,4,3,0,0,0,Pontiac,Male,Married,Policy Holder,Sedan - Collision,Sedan,Urban,No,No,External,Collision,5,9800.0,1750,"도심 도로에서 계약자가 운전하던 세단 차량이 진행 중 전방 차량과 충돌하는 사고가 발생하였다. 사고 경위 확인 결과 계약자의 과실로 판단되며, 별도의 목격자는 확인되지 않았다. 사고 당시 경찰에는 신고하지 않았고, 계약자는 사고 발생 후 30일이 지난 시점에 보험사에 청구를 접수하였다. 차량은 충돌로 인한 손상으로 자기차량손해 담보에 따라 수리가 필요한 상태이며, 계약자는 과거 1건의 청구 이력이 있는 것으로 확인된다.",0,지연신고(사고 후 30일 경과 청구)|경찰 미신고|목격자 부재,"사고 발생 후 30일이 지나서야 보험금을 청구한 지연신고 정황과 경찰 미신고, 목격자 부재가 확인되어 사고 경위 확인이 어려운 점이 의심 요소로 작용한다. 다만 나이롱환자, 한방병원 장기입원 등 인적 피해 관련 정황은 본문에 없어 해당 항목은 제외하였다.",0.3
3265,40,34500,500,1,0,6,5,4,3,0,3,0,Mazda,Male,Married,Third Party,Sedan - Collision,Sedan,Urban,No,No,External,Collision,4,13800.0,1400,"도심 도로에서 상대방 차량과의 접촉사고로 계약자 차량(세단)이 파손되었으며, 사고 경위상 계약자의 과실은 없고 상대방 일방과실로 확인된다. 사고 당시 경찰에는 별도로 신고하지 않았고, 현장에 목격자도 없어 사고 경위를 객관적으로 뒷받침할 자료가 부족한 상태이다. 계약자 차량에는 블랙박스가 장착되어 있지 않아 영상 자료를 통한 사고 상황 확인이 불가능하다. 사고 발생 후 30일 이상이 경과한 시점에 보험사에 청구가 접수되어 사고 경위 및 손상 부위 대조에 어려움이 있다. 계약자는 과거 보험금 청구 이력이 없는 상태이다.",1,블랙박스 미장착|지연신고|목격자 부재|경찰 미신고,"사고 발생 후 30일 이상 경과된 지연 청구, 블랙박스 미장착으로 인한 영상 확인 불가, 경찰 미신고 및 목격자 부재로 사고 경위를 객관적으로 뒷받침할 자료가 전무하여 사고 경위 및 손상 부위 대조에 어려움이 있는 점은 국내 자동차보험 사기에서 흔히 나타나는 의심 정황에 해당한다. 다만 과거 보험금 청구 이력이 없고 나이롱환자·장기입원 등 인적 피해 관련 정황은 본문에 없어 보정치를 중간 수준으로 설정한다.",0.5
